network,week,n,t,pct,rm,date
CNN,2019.038,136,341,0.39882697947214074,0.3273771797620912,2019-01-08
Fox News,2019.038,21,49,0.42857142857142855,0.3337202380952381,2019-01-08
CNN,2019.058,102,321,0.3177570093457944,0.32634654223111575,2019-01-15
Fox News,2019.058,21,50,0.42,0.33054563492063493,2019-01-15
CNN,2019.077,109,351,0.31054131054131057,0.2926654383887216,2019-01-22
Fox News,2019.077,11,48,0.22916666666666666,0.31013747165532884,2019-01-22
CNN,2019.096,96,345,0.2782608695652174,0.2822970906977498,2019-01-29
Fox News,2019.096,11,45,0.24444444444444444,0.2884708049886622,2019-01-29
CNN,2019.115,103,390,0.2641025641025641,0.25818082464599984,2019-02-05
Fox News,2019.115,17,49,0.3469387755102041,0.28552696440895203,2019-02-05
CNN,2019.135,113,409,0.2762836185819071,0.2636156072546955,2019-02-12
Fox News,2019.135,14,42,0.3333333333333333,0.3181658532978409,2019-02-12
CNN,2019.154,73,341,0.21407624633431085,0.24910095524004347,2019-02-19
Fox News,2019.154,10,46,0.21739130434782608,0.2835144927536232,2019-02-19
CNN,2019.173,99,330,0.3,0.22323118373904263,2019-02-26
Fox News,2019.173,18,48,0.375,0.21684782608695655,2019-02-26
CNN,2019.192,75,364,0.20604395604395603,0.22804545548879823,2019-03-05
Fox News,2019.192,10,48,0.20833333333333334,0.2197916666666667,2019-03-05
CNN,2019.212,61,353,0.17280453257790368,0.2096244028572193,2019-03-12
Fox News,2019.212,3,45,0.06666666666666667,0.20212862318840583,2019-03-12
CNN,2019.231,84,360,0.23333333333333334,0.23352102254188248,2019-03-19
Fox News,2019.231,11,48,0.22916666666666666,0.18492901078530505,2019-03-19
CNN,2019.25,86,380,0.22631578947368422,0.24801219708971425,2019-03-26
Fox News,2019.25,14,46,0.30434782608695654,0.2515956774519717,2019-03-26
CNN,2019.269,111,368,0.3016304347826087,0.23951546506357047,2019-04-02
Fox News,2019.269,6,43,0.13953488372093023,0.30739924888054315,2019-04-02
CNN,2019.288,78,338,0.23076923076923078,0.2444230041816359,2019-04-09
Fox News,2019.288,14,42,0.3333333333333333,0.3044830240661211,2019-04-09
CNN,2019.308,61,306,0.19934640522875818,0.22106818140973739,2019-04-16
Fox News,2019.308,19,42,0.4523809523809524,0.30683334568908,2019-04-16
CNN,2019.327,91,370,0.24594594594594596,0.22966980342988974,2019-04-23
Fox News,2019.327,12,41,0.2926829268292683,0.2985000123557467,2019-04-23
CNN,2019.346,71,341,0.20821114369501467,0.23857637152160732,2019-04-30
Fox News,2019.346,7,47,0.14893617021276595,0.26692651339094337,2019-04-30
CNN,2019.365,83,313,0.26517571884984026,0.2540988136065494,2019-05-07
Fox News,2019.365,12,40,0.3,0.27483686276470737,2019-05-07
CNN,2019.385,86,366,0.23497267759562843,0.27213948562672097,2019-05-14
Fox News,2019.385,15,46,0.32608695652173914,0.3231291360009896,2019-05-14
CNN,2019.404,138,448,0.3080357142857143,0.28003910430135764,2019-05-21
Fox News,2019.404,12,37,0.32432432432432434,0.3427237305955842,2019-05-21
CNN,2019.423,120,428,0.2803738317757009,0.29967708244343416,2019-05-28
Fox News,2019.423,13,38,0.34210526315789475,0.3174519914651494,2019-05-28
CNN,2019.442,138,465,0.2967741935483871,0.29574507694892865,2019-06-04
Fox News,2019.442,14,37,0.3783783783783784,0.3087393314366999,2019-06-04
CNN,2019.462,153,488,0.3135245901639344,0.26539004958850443,2019-06-11
Fox News,2019.462,9,40,0.225,0.28731557974979033,2019-06-11
